time,base_heading,distance_ball_base,distance_ball_hand
0.5230,1.9144,0.0000,0.0000
0.5240,1.9144,0.0000,0.0000
0.5250,1.9144,0.0000,0.0000
0.5260,1.9144,0.0000,0.0000
0.5270,1.9144,0.0000,0.0000
0.5280,1.9144,0.0000,0.0000
0.5290,1.9144,0.0000,0.0000
0.5300,1.9144,0.0000,0.0000
0.5310,1.9144,0.0000,0.0000
0.5320,1.9144,0.0000,0.0000
0.5330,1.9144,0.0000,0.0000
0.5340,1.9144,0.0000,0.0000
0.5350,1.9144,0.0000,0.0000
0.5360,1.9144,0.0000,0.0000
0.5370,1.9144,0.0000,0.0000
0.5380,1.9144,0.0000,0.0000
0.5390,1.9144,0.0000,0.0000
0.5400,1.9144,0.0000,0.0000
0.5410,1.9144,0.0000,0.0000
0.5420,1.9144,0.0000,0.0000
0.5430,1.9144,0.0000,0.0000
0.5440,1.9144,0.0000,0.0000
0.5450,1.9144,0.0000,0.0000
0.5460,1.9144,0.0000,0.0000
0.5470,1.9144,0.0000,0.0000
0.5480,1.9144,0.0000,0.0000
0.5490,1.9144,0.0000,0.0000
0.5500,1.9144,0.0000,0.0000
0.5510,1.9144,0.0000,0.0000
0.5520,1.9144,0.0000,0.0000
0.5530,1.9144,0.0000,0.0000
0.5540,1.9144,0.0000,0.0000
0.5550,1.9144,0.0000,0.0000
0.5560,1.9144,0.0000,0.0000
0.5570,1.9144,0.0000,0.0000
0.5580,1.9144,0.0000,0.0000
0.5590,1.9144,0.0000,0.0000
0.5600,1.9144,0.0000,0.0000
0.5610,1.9144,0.0000,0.0000
0.5620,1.9144,0.0000,0.0000
0.5630,1.9144,0.0000,0.0000
0.5640,1.9144,0.0000,0.0000
0.5650,1.9144,0.0000,0.0000
0.5660,1.9144,0.0000,0.0000
0.5670,1.9144,0.0000,0.0000
0.5680,1.9144,0.0000,0.0000
0.5690,1.9144,0.0000,0.0000
0.5700,1.9144,0.0000,0.0000
0.5710,1.9144,0.0000,0.0000
0.5720,1.9144,0.0000,0.0000
0.5730,1.9144,0.0000,0.0000
0.5740,1.9144,0.0000,0.0000
0.5750,1.9144,0.0000,0.0000
0.5760,1.9144,0.0000,0.0000
