time,eye_theta_error_l,eye_theta_error_r
0.676000,-0.046841,-0.039043
0.677000,-0.046841,-0.039043
0.678000,-0.046841,-0.039043
0.679000,-0.046841,-0.039043
0.680000,-0.046841,-0.039043
0.681000,-0.046841,-0.046841
0.682000,-0.046841,-0.046841
0.683000,-0.046841,-0.046841
0.684000,-0.046841,-0.046841
0.685000,-0.046841,-0.046841
0.686000,-0.046841,-0.046841
0.687000,-0.046841,-0.046841
0.688000,-0.046841,-0.046841
0.689000,-0.046841,-0.046841
0.690000,-0.046841,-0.046841
0.691000,-0.046841,-0.046841
0.692000,-0.046841,-0.046841
0.693000,-0.046841,-0.046841
0.694000,-0.046841,-0.046841
0.695000,-0.046841,-0.046841
0.696000,-0.046841,-0.046841
0.697000,-0.046841,-0.046841
0.698000,-0.046841,-0.046841
0.699000,-0.046841,-0.046841
0.700000,-0.046841,-0.046841
0.701000,-0.046841,-0.046841
0.702000,-0.046841,-0.046841
0.703000,-0.046841,-0.046841
0.704000,-0.046841,-0.046841
0.705000,-0.046841,-0.046841
0.706000,-0.046841,-0.046841
0.707000,-0.046841,-0.046841
0.708000,-0.046841,-0.046841
0.709000,-0.046841,-0.046841
0.710000,-0.046841,-0.046841
0.711000,-0.046841,-0.046841
0.712000,-0.046841,-0.046841
0.713000,-0.046841,-0.046841
0.714000,-0.046841,-0.046841
0.715000,-0.046841,-0.046841
0.716000,-0.046841,-0.046841
0.717000,-0.046841,-0.046841
0.718000,-0.046841,-0.046841
0.719000,-0.046841,-0.046841
0.720000,-0.046841,-0.046841
0.721000,-0.046841,-0.046841
0.722000,-0.046841,-0.046841
0.723000,-0.046841,-0.046841
0.724000,-0.046841,-0.046841
0.725000,-0.046841,-0.046841
0.726000,-0.054633,-0.046841
0.727000,-0.054633,-0.046841
0.728000,-0.054633,-0.046841
0.729000,-0.054633,-0.046841
0.730000,-0.054633,-0.046841
0.731000,-0.046841,-0.054633
0.732000,-0.046841,-0.054633
0.733000,-0.046841,-0.054633
0.734000,-0.046841,-0.054633
0.735000,-0.046841,-0.054633
0.736000,-0.046841,-0.046841
0.737000,-0.046841,-0.046841
0.738000,-0.046841,-0.046841
0.739000,-0.046841,-0.046841
0.740000,-0.046841,-0.046841
0.741000,-0.046841,-0.046841
0.742000,-0.046841,-0.046841
0.743000,-0.046841,-0.046841
0.744000,-0.046841,-0.046841
0.745000,-0.046841,-0.046841
0.746000,-0.046841,-0.046841
0.747000,-0.046841,-0.046841
0.748000,-0.046841,-0.046841
0.749000,-0.046841,-0.046841
0.750000,-0.046841,-0.046841
0.751000,-0.046841,-0.046841
