time,eye_theta_error_l,eye_theta_error_r
0.483000,-0.154997,-0.154997
0.484000,-0.154997,-0.154997
0.485000,-0.154997,-0.154997
0.486000,-0.154997,-0.154997
0.487000,-0.154997,-0.154997
0.488000,-0.154997,-0.154997
0.489000,-0.154997,-0.154997
0.490000,-0.154997,-0.154997
0.491000,-0.154997,-0.154997
0.492000,-0.154997,-0.154997
0.493000,-0.154997,-0.154997
0.494000,-0.154997,-0.154997
0.495000,-0.154997,-0.154997
0.496000,-0.147361,-0.154997
0.497000,-0.147361,-0.154997
0.498000,-0.147361,-0.154997
0.499000,-0.147361,-0.154997
0.500000,-0.147361,-0.154997
0.501000,-0.147361,-0.154997
0.502000,-0.147361,-0.154997
0.503000,-0.147361,-0.154997
0.504000,-0.147361,-0.154997
0.505000,-0.147361,-0.154997
0.506000,-0.132040,-0.147361
0.507000,-0.132040,-0.147361
0.508000,-0.132040,-0.147361
0.509000,-0.132040,-0.147361
0.510000,-0.132040,-0.147361
0.511000,-0.132040,-0.132040
0.512000,-0.132040,-0.132040
0.513000,-0.132040,-0.132040
0.514000,-0.132040,-0.132040
0.515000,-0.132040,-0.132040
0.516000,-0.124355,-0.132040
0.517000,-0.124355,-0.132040
0.518000,-0.124355,-0.132040
0.519000,-0.124355,-0.132040
0.520000,-0.124355,-0.132040
0.521000,-0.116655,-0.124355
0.522000,-0.116655,-0.124355
0.523000,-0.116655,-0.124355
0.524000,-0.116655,-0.124355
0.525000,-0.116655,-0.124355
0.526000,-0.116655,-0.124355
0.527000,-0.116655,-0.124355
0.528000,-0.116655,-0.124355
0.529000,-0.116655,-0.124355
0.530000,-0.116655,-0.124355
0.531000,-0.101215,-0.116655
0.532000,-0.101215,-0.116655
0.533000,-0.101215,-0.116655
0.534000,-0.101215,-0.116655
0.535000,-0.101215,-0.116655
0.536000,-0.093477,-0.108942
0.537000,-0.093477,-0.108942
0.538000,-0.093477,-0.108942
0.539000,-0.093477,-0.108942
0.540000,-0.093477,-0.108942
0.541000,-0.085727,-0.101215
0.542000,-0.085727,-0.101215
0.543000,-0.085727,-0.101215
0.544000,-0.085727,-0.101215
0.545000,-0.085727,-0.101215
0.546000,-0.085727,-0.093477
0.547000,-0.085727,-0.093477
0.548000,-0.085727,-0.093477
0.549000,-0.085727,-0.093477
0.550000,-0.085727,-0.093477
0.551000,-0.077967,-0.085727
0.552000,-0.077967,-0.085727
0.553000,-0.077967,-0.085727
0.554000,-0.077967,-0.085727
0.555000,-0.077967,-0.085727
0.556000,-0.077967,-0.085727
0.557000,-0.077967,-0.085727
0.558000,-0.077967,-0.085727
0.559000,-0.077967,-0.085727
0.560000,-0.077967,-0.085727
0.561000,-0.062419,-0.077967
0.562000,-0.062419,-0.077967
