time,base_err
0.468000,2.067388
0.469000,2.063898
0.470000,2.060388
0.471000,2.056856
0.472000,2.053304
0.473000,2.049732
0.474000,2.046140
0.475000,2.042528
0.476000,2.038898
0.477000,2.035248
0.478000,2.031580
0.479000,2.027894
0.480000,2.024190
0.481000,2.020468
0.482000,2.016729
0.483000,2.012974
0.484000,2.009202
0.485000,2.005413
0.486000,2.001609
0.487000,1.997789
0.488000,1.993954
0.489000,1.990104
0.490000,1.986239
0.491000,1.982360
0.492000,1.978466
0.493000,1.974559
0.494000,1.970638
0.495000,1.966704
0.496000,1.962756
0.497000,1.958796
0.498000,1.954824
0.499000,1.950839
0.500000,1.946843
0.501000,1.942835
0.502000,1.938815
0.503000,1.934784
0.504000,1.930742
0.505000,1.926690
0.506000,1.922627
0.507000,1.918555
0.508000,1.914472
0.509000,1.910380
0.510000,1.906278
0.511000,1.902167
0.512000,1.898047
0.513000,1.893918
0.514000,1.889781
0.515000,1.885636
0.516000,4.630376
0.517000,4.628426
0.518000,4.626905
0.519000,4.625636
0.520000,4.624529
0.521000,4.623540
0.522000,4.622645
0.523000,4.621831
0.524000,4.621092
0.525000,4.620422
0.526000,4.619821
0.527000,4.619285
0.528000,4.618813
0.529000,4.618403
0.530000,4.618056
0.531000,4.617768
0.532000,4.617540
0.533000,4.617370
0.534000,4.617257
0.535000,4.617200
0.536000,4.617198
0.537000,4.617250
0.538000,4.617355
0.539000,4.617512
0.540000,4.617721
0.541000,4.617980
0.542000,4.618288
0.543000,4.618645
0.544000,4.619050
0.545000,4.619502
0.546000,4.620001
0.547000,4.620545
0.548000,4.621133
0.549000,4.621766
0.550000,4.622442
0.551000,4.623161
0.552000,4.623922
0.553000,4.624724
0.554000,4.625567
0.555000,4.626450
0.556000,4.627373
0.557000,4.628335
0.558000,4.629335
0.559000,4.630373
0.560000,4.631448
0.561000,4.632560
0.562000,4.633708
0.563000,4.634892
0.564000,4.636111
0.565000,4.637365
0.566000,4.638653
0.567000,4.639974
0.568000,4.641329
0.569000,4.642717
0.570000,4.644137
0.571000,4.645589
0.572000,4.647072
0.573000,4.648586
0.574000,4.650131
0.575000,4.651707
0.576000,4.653311
0.577000,4.654946
0.578000,4.656609
0.579000,4.658301
0.580000,4.660020
0.581000,4.661768
0.582000,4.663543
0.583000,4.665345
0.584000,4.667173
0.585000,4.669028
0.586000,4.670909
0.587000,4.672815
0.588000,4.674746
0.589000,4.676702
0.590000,4.678683
0.591000,4.680688
0.592000,4.682716
0.593000,4.684768
0.594000,4.686843
0.595000,4.688941
0.596000,4.691061
0.597000,4.693203
0.598000,4.695367
0.599000,4.697553
0.600000,4.699759
0.601000,4.701987
0.602000,4.704235
0.603000,4.706503
0.604000,4.708792
0.605000,4.711100
0.606000,4.713427
0.607000,4.715773
0.608000,4.718138
0.609000,4.720521
0.610000,4.722923
0.611000,4.725343
0.612000,4.727780
0.613000,4.730234
0.614000,4.732706
0.615000,4.735195
0.616000,4.737699
0.617000,1.598628
0.618000,1.599205
0.619000,1.599414
0.620000,1.599410
0.621000,1.599271
0.622000,1.599035
0.623000,1.598724
0.624000,1.598349
0.625000,1.597915
0.626000,1.597427
0.627000,1.596886
0.628000,1.596295
0.629000,1.595655
0.630000,1.594967
0.631000,1.594233
0.632000,1.593452
0.633000,1.592627
0.634000,1.591759
0.635000,1.590847
0.636000,1.589894
0.637000,1.588899
0.638000,1.587864
0.639000,1.586790
0.640000,1.585677
0.641000,1.584526
0.642000,1.583338
0.643000,1.582113
0.644000,1.580853
0.645000,1.579557
0.646000,1.578227
0.647000,1.576862
0.648000,1.575465
0.649000,1.574035
0.650000,1.572572
0.651000,1.571078
0.652000,1.569553
0.653000,3.335143
0.654000,3.336329
0.655000,3.338046
0.656000,3.340071
0.657000,3.342290
0.658000,3.344644
0.659000,3.347104
0.660000,3.349654
0.661000,3.352284
0.662000,3.354988
0.663000,3.357764
0.664000,3.360607
0.665000,3.363517
0.666000,3.366491
0.667000,3.369528
0.668000,3.372625
0.669000,3.375781
0.670000,3.378996
0.671000,3.382266
0.672000,3.385592
0.673000,3.388972
0.674000,3.392405
0.675000,3.395889
0.676000,3.399423
0.677000,3.403007
0.678000,3.406639
0.679000,3.410318
0.680000,3.414043
0.681000,3.417813
0.682000,3.421628
0.683000,3.425486
0.684000,3.429386
0.685000,3.433328
0.686000,3.437311
0.687000,3.441334
0.688000,3.445396
0.689000,3.449496
0.690000,3.453635
0.691000,3.457810
0.692000,3.462022
0.693000,3.466269
0.694000,3.470551
0.695000,3.474868
0.696000,3.479218
0.697000,3.483602
0.698000,3.488017
0.699000,3.492465
0.700000,3.496944
0.701000,3.501454
0.702000,3.505993
0.703000,3.510563
0.704000,3.515161
0.705000,3.519788
0.706000,3.524443
0.707000,3.529125
0.708000,3.533834
0.709000,3.538570
0.710000,3.543332
0.711000,3.548119
0.712000,3.552932
0.713000,3.557769
0.714000,3.562630
0.715000,3.567514
0.716000,3.572422
0.717000,3.577353
0.718000,3.582306
0.719000,-2.695905
0.720000,-2.690908
0.721000,-2.685891
